fraction,train_samples,init,epochs,best_val_loss,loaded_encoder_tensors,skipped_encoder_tensors,n_heldout,distal_edge_error_mm_mean,distal_edge_error_mm_std,gamma_pass_pct_mean,rmse_pct_mean,peak_depth_cm_mean
0.25,136,scratch,60,2.2527260382970176,0,0,160.0,0.5108762932727176,0.4117102741622857,93.67885127176507,1.8553166035709787,17.53874997794628
0.25,136,stage0,60,2.5270248651504517,59,0,160.0,0.5495301568160608,0.3954652804083216,89.37742834192204,2.1280733496402613,17.539374998211862
0.5,272,scratch,60,1.242935021718343,0,0,160.0,0.15944609090016396,0.26407334851625025,95.95269977513176,1.0959615649080088,17.51968742609024
0.5,272,stage0,60,1.0389349063237507,59,0,160.0,0.1888828784516917,0.23800589444366416,95.21042662453169,1.1839190873301149,17.53874997496605
1.0,544,scratch,60,0.5394061406453451,0,0,160.0,0.12322240423759485,0.18226189179939456,96.75841775696577,0.9669208097281252,17.500312560796736
1.0,544,stage0,60,0.5371481974919637,59,0,160.0,0.10041770559022681,0.16660738338425551,97.25053597411694,0.7841706125992902,17.520937472581863
