fraction,train_samples,init,epochs,best_val_loss,loaded_encoder_tensors,skipped_encoder_tensors,n_heldout,distal_edge_error_mm_mean,distal_edge_error_mm_std,gamma_pass_pct_mean,rmse_pct_mean,peak_depth_cm_mean
0.25,4,scratch,1,11.44494915008545,0,0,6.0,nan,nan,0.0,56.895928813076125,24.825395901997883
0.25,4,stage0,1,8.654757499694824,23,0,6.0,nan,nan,0.0,64.96891961881377,14.751322507858276
0.5,7,scratch,1,11.116180419921875,0,0,6.0,nan,nan,2.380952380952381,63.42221042798227,24.46560827891032
0.5,7,stage0,1,9.135936737060547,23,0,6.0,nan,nan,0.0,64.75513917665997,0.35978837807973224
1.0,14,scratch,1,14.056708335876465,0,0,6.0,nan,nan,0.0,55.410647652711766,15.111110925674438
1.0,14,stage0,1,8.649799346923828,23,0,6.0,nan,nan,0.0,69.37066670767324,5.576719284057617
